%LR04age	RedSea
237.057	-6.195
237.157	-3.15
237.86	-8.96
238.363	-36.84
238.677	-18.515
239.038	-25.69
239.88	-25.695
240.722	-60.98
241.084	-37.765
241.639	-79.29
241.959	-50.565
243.006	-71.29
243.539	-46.81
244.101	-73.25
244.594	-73.45
245.947	-79.83
247.294	-78.7
247.797	-91.95
248.496	-74.32
248.853	-80.97
249.632	-64.93
249.699	-75.72
250.9	-86.55
252.066	-85.89
253.209	-92.62
253.788	-80.62
254.306	-83.29
255.54	-80.52
257.205	-86.12
258.455	-81.21
259.405	-88.47
259.506	-81.71
259.926	-79.83
260.237	-78.745
260.977	-77.03
261.922	-65.14
261.938	-74.75
262.865	-68.83
263.352	-76.46
263.743	-79.44
263.987	-86.32
264.546	-78.2
265.349	-77.39
266.153	-78.9
266.244	-94.71
266.949	-84.25
267.195	-97.04
267.488	-99.17
267.702	-92.79
268.169	-96.67
268.63	-97.82
268.677	-101.82
269.023	-99.48
269.136	-106.09
269.358	-90.89
269.396	-101.82
269.765	-102.65
270.138	-99.5
270.507	-97.19
270.528	-96.68
270.62	-101.97
270.88	-95.3
271.273	-97.48
271.336	-92.1
271.797	-87.1
272.011	-80.99
272.36	-85.29
272.542	-90.39
272.975	-78.89
273.597	-75.4
273.688	-80.22
274.255	-81.7
275.135	-76.19
275.188	-74.9
275.525	-80.45
276.299	-67.22
277.242	-60.52
278.185	-61.29
279.129	-59.58
279.417	-62.09
280.085	-56.91
280.347	-48.2
281.029	-47.265
281.971	-45.87
281.972	-48
282.43	-41.77
282.914	-50.08
282.915	-40.92
283.204	-57.06
283.841	-37.35
284.731	-39.51
284.941	-37.8
285.62	-32.67
285.622	-36.41
286.399	-31.53
286.409	-32.67
286.506	-50.82
286.616	-42.18
287.12	-21.61
287.121	-15.82
287.673	-47.09
287.831	-29.765
288.544	-34.355
288.614	-68.3
288.969	-52.97
289.028	-39.9
289.176	-75.9
289.246	-49.02
289.661	-58.88
289.938	-54.6
290.319	-51.52
290.832	-60.65
291.217	-62.03
291.35	-61.54
291.499	-63.95
291.862	-60.87
292.226	-69.82
292.374	-62.77
292.893	-62.92
293.404	-65.71
293.551	-74.8
293.867	-56.38
294.276	-62.61
294.322	-54.35
294.783	-54.68
295.238	-57.51
295.376	-54.49
295.409	-67.62
295.693	-57.34
296.154	-52.95
296.411	-62.19
296.609	-51.37
297.064	-46.49
297.202	-45.28
297.518	-48.21
297.888	-58.08
297.96	-46.07
298.369	-47.83
298.778	-57.31
298.903	-40.74
299.187	-60.01
299.597	-44.89
299.662	-50.16
300	-47.79
300.403	-40.43
300.528	-50.07
300.534	-55.47
300.812	-42.61
301.183	-39.77
301.447	-41.15
301.542	-38.01
301.908	-40.02
302.013	-46.82
302.267	-38.67
302.31	-36.84
302.627	-35.44
302.991	-35.07
303.161	-28.4
303.351	-33.67
303.462	-45.44
303.716	-35.81
304.075	-36.53
304.294	-25.34
304.459	-37.43
304.811	-35.16
304.863	-32.16
304.981	-45.45
305.116	-61.62
305.263	-48.74
305.645	-41.93
306.003	-42.44
306.039	-62.33
306.139	-73.26
306.327	-53.52
306.461	-31.14
307.219	-29.55
308.063	-33.01
309.138	-31.04
309.473	-32.01
310.366	-29.13
311.73	-30.61
312.701	-46.14
313.074	-25.93
314.42	-22.99
314.816	-33.89
315.764	-25.11
315.983	-18.84
317.108	-24.08
318.451	-22.285
319.795	-18.27
319.818	-7.77
320.213	-20.38
320.837	-14.01
321.406	-8.5
321.643	-7.275
322.449	-5
323.255	-10.145
323.494	-14.58
323.957	-13.71
324.062	-1.56
324.063	-14.43
324.869	-5.02
324.883	-10.14
325.622	-12.66
325.689	-13.565
326.394	-7.31
326.589	-18.99
327.058	-9.12
327.069	-4.7
327.548	-18.69
327.721	-6.85
328.386	-17.8
329.049	-17.4
329.256	-5.8
329.723	-14.17
330.63	-20.41
331.426	11.38
331.735	-37.52
332.844	-60.12
333.17	-4.99
333.367	-80.78
333.987	-66.51
335.66	-82.58
335.679	-82.06
336.958	-79.45
337.893	-92.66
338.27	-84.65
338.665	-84.13
339.584	-91.97
340.886	-91.56
341.583	-102.31
342.068	-95.37
342.553	-112.09
342.797	-109
343.25	-98.83
343.591	-105.92
344.417	-103.39
344.464	-113.55
345.599	-101.9
346.782	-111.23
346.813	-102.09
347.382	-107.58
347.963	-104.75
348.433	-104.617
349.114	-104.99
349.615	-96.99
350.682	-94.14
351.221	-87.87
351.437	-81.98
351.6	-80.59
351.849	-92.07
352.048	-82.88
352.221	-81.66
352.594	-78.39
352.858	-67.01
352.893	-83.68
353.186	-82.155
353.191	-79.35
353.377	-84.58
353.485	-80.03
353.824	-78.33
354.111	-83.81
354.213	-83.35
354.551	-77.69
354.596	-89.4
354.602	-89.4
354.602	-81.68
355.045	-85.86
355.531	-80.83
355.764	-106.06
356.056	-94.07
356.394	-92.64
356.631	-92.125
356.64	-87.71
357.198	-91.22
357.756	-86.79
357.882	-88.8
358.323	-84.14
358.627	-83.5
358.881	-92.05
358.89	-86.19
359.548	-75.52
360.084	-80
360.097	-75.26
360.519	-76.95
360.647	-74.11
360.948	-76.5467
361.377	-70.09
361.704	-66.89
361.8	-69.75
362.229	-67.92
362.286	-61.03
362.657	-68.51
362.658	-70.935
363.048	-65.73
363.08	-72.46
363.509	-67.97
363.829	-60.83
363.931	-67.51
364.36	-68.82
364.361	-70.72
364.648	-67.36
364.789	-64.85
365.211	-62.29
365.499	-55.82
365.65	-60.85
366.107	-58.585
366.108	-60.86
366.469	-53.43
366.572	-41.13
367.015	-50.47
367.472	-49.71
368.06	-55.95
368.094	-69.54
368.381	-61.75
368.469	-80.69
368.559	-49.12
368.654	-61.92
368.832	-51.44
368.927	-46.88
369.023	-55.71
369.118	-56.88
369.214	-53.01
369.31	-40.72
369.31	-69.3
369.419	-55.48
369.528	-62.94
369.638	-65.78
369.747	-50.97
369.801	-59.19
369.856	-57.29
369.862	-62.82
369.965	-58.54
370.027	-60.17
370.081	-68.61
370.19	-41.76
370.299	-57.04
370.408	-51.17
370.409	-68.59
370.517	-52.35
370.627	-66.28
370.736	-53.43
370.846	-47.6
370.955	-59.13
370.962	-52.87
371.065	-63.32
371.174	-57.21
371.283	-55.49
371.392	-51.04
371.508	-55.735
371.617	-44.4
371.726	-54.26
371.835	-54.6
371.944	-45.01
372.054	-45.27
372.055	-60.39
372.164	-44.83
372.218	-40.24
372.273	-49.47
372.382	-45.12
372.491	-49.01
372.601	-57.005
372.71	-43.81
372.82	-51.27
372.935	-46.61
373.044	-48.09
373.079	-46.7
373.153	-55.095
373.262	-45.95
373.372	-53.28
373.482	-40.79
373.591	-43.88
373.7	-47.04
373.809	-41.03
373.918	-42.86
374.028	-35.78
374.147	-33.05
374.283	-41.25
374.291	-51.66
374.427	-33.02
374.564	-43.19
374.7	-36.15
374.812	-45.68
374.838	-35.72
374.974	-32.06
374.975	-49.92
375.111	-33.91
375.248	-38.27
375.384	-32.32
375.52	-36.93
375.657	-40.14
375.666	-47.34
375.794	-34.38
375.93	-38.7
376.067	-35.57
376.203	-38.13
376.348	-42.1
376.485	-33.54
376.621	-37.55
376.758	-37.89
376.895	-39.8
377.031	-47.14
377.032	-51.11
377.168	-50.99
377.235	-45.74
377.304	-45.86
377.44	-46.91
377.578	-44.12
377.714	-47.53
377.851	-41.46
377.987	-47.84
378.123	-38.33
378.131	-45.3
378.269	-44.2
378.405	-41.49
378.406	-44.23
378.541	-45.13
378.679	-39.34
378.815	-38.07
378.951	-36.64
379.088	-35.63
379.097	-45.44
379.225	-36.73
379.362	-38.79
379.498	-32.4
379.634	-36.5
379.771	-28.88
379.779	-40.41
379.916	-32.77
379.985	-24.71
380.052	-37.4
380.189	-34.13
380.325	-30.46
380.462	-24.305
380.599	-24.02
380.735	-27.35
380.873	-26.03
381.009	-28.39
381.145	-33.085
381.282	-22.97
381.418	-36.01
381.426	-50.69
381.554	-38.4
381.7	-20.73
381.836	-42.42
381.972	-37.46
